##SAMPLE_ID	Collected tissue sample identification
##TUBE_LABEL	How sample was labeled on storage tube
##SEX	The sex of the bird
##NORM_TUM	Whether sample is characterized as normal or somatic
##TISSUE	Type of collected tissue
##TUMOR_NUM	Number of COLLECTED tumors from bird
##TUMOR_SCORE	Grade of tumor; Scale of 1-3, 3 represents most homologous largest tumor in appearence, interpretation by eye
##COHORT	Experimental cohort
##STORAGE	The storage strategy of tissue based on potential for biological sampling; DNA, RNA, cytogenetics, liquid_nitrogen, immunohistochem
##ANALYSIS	The actual biological tests that have been performed from sample; dna_seq, affy_array, rna_seq, cytogenetics, immunohistochem ,targeted_resequencing
##FILTER	Justification for priority score
###FILTERS:
###filter_1:	All samples that underwent DNA-sequencing from Summer 2014 cohort (plus matching normals)
###filter_2:	All samples that underwent RNA-sequencing from Summer 2014 cohort
###filter_3:	Gonadal tumors with tumor score greater than or equal to 2
###filter_4:	The tumors from birds that possess multiple high quality tumors
###filter_5:	Tumors that have a tumor score of 3 regardless of tissue
###filter_6:	Tumors that have a tumor score of 2 regardless of tissue
###filter_7:	Remaining gonadal tumor samples
###filter_8:	Remaining tumor samples
###filter_9:	Remaining normal samples
#SAMPLE_ID	TUBE_LABEL	SEX	NORM_TUM	TISSUE	TUMOR_NUM	TUMOR_SCORE	COHORT	STORAGE	SAMPLING	FILTER
017738-0	017738	female	normal	heart	2	na	summer_2014	rna	dnaseq;targeted_resequencing	1
017738-1	017738-1	female	tumor	gonad	2	1	summer_2014	dna;cyto;rna	cytogenetics;dnaseq;rnaseq;microarrays;targeted_resequencing	1
017741-0	017741	male	normal	liver	1	na	summer_2014	dna;rna	dnaseq;targeted_resequencing	1
017741-1	017741-1	male	tumor	gonad	1	3	summer_2014	dna;cyto;rna	cytogenetics;dnaseq;rnaseq;microarrays;targeted_resequencing	1
017756-0	017756	male	normal	gonad	3	na	summer_2014	dna;rna	dnaseq;targeted_resequencing	1
017756-3	017756-3	male	tumor	gonad	3	1	summer_2014	dna;rna	cytogenetics;dnaseq;rnaseq;microarrays;targeted_resequencing	1
017766-0	017766	male	normal	liver	3	na	summer_2014	dna;rna	dnaseq;targeted_resequencing	1
017766-1	017766-1	male	tumor	gonad	3	3	summer_2014	dna;cyto;rna	cytogenetics;dnaseq;rnaseq;microarrays;targeted_resequencing	1
017777-0	017777	female	normal	liver	3	na	summer_2014	dna;rna	dnaseq;targeted_resequencing	1
017777-3	017777-3	female	tumor	gonad	3	3	summer_2014	dna;cyto;rna	cytogenetics;dnaseq;rnaseq;microarrays;targeted_resequencing	1
017787-0	017787	male	normal	gonad	2	na	summer_2014	dna;rna	dnaseq;targeted_resequencing	1
017787-2	017787-2	male	tumor	gonad	2	3	summer_2014	dna;cyto;rna	cytogenetics;dnaseq;rnaseq;microarrays;targeted_resequencing	1
017788-0	017788	female	normal	spleen	1	na	summer_2014	rna	dnaseq;targeted_resequencing	1
017788-1	017788-1	female	tumor	gonad	1	1	summer_2014	dna;cyto;rna	cytogenetics;dnaseq;microarrays;targeted_resequencing	1
017794-0	017794	male	normal	liver	3	na	summer_2014	dna;rna	dnaseq;targeted_resequencing	1
017794-1	017794-1	male	tumor	gonad	3	3	summer_2014	dna;cyto;rna	cytogenetics;dnaseq;rnaseq;microarrays;targeted_resequencing	1
017798-0	017798	male	normal	liver	4	na	summer_2014	dna;rna	dnaseq;targeted_resequencing	1
017798-1	017798-1	male	tumor	gonad	4	3	summer_2014	dna;cyto;rna	cytogenetics;dnaseq;rnaseq;microarrays;targeted_resequencing	1
017833-0	017833	male	normal	liver	4	na	summer_2014	dna;rna	dnaseq;targeted_resequencing	1
017833-1	017833-1	male	tumor	gonad	4	3	summer_2014	dna;cyto;rna	cytogenetics;dnaseq;rnaseq;microarrays;targeted_resequencing	1
017834-0	017834	female	normal	liver	2	na	summer_2014	dna;rna	dnaseq;targeted_resequencing	1
017834-2	017834-2	female	tumor	gonad	2	3	summer_2014	dna;cyto;rna	cytogenetics;dnaseq;rnaseq;microarrays;targeted_resequencing	1
017834-2_2	017834-2_2	female	tumor	gonad	2	3	summer_2014	dna;cyto;rna	dnaseq;targeted_resequencing	1
017835-0	017835	female	normal	liver	2	na	summer_2014	dna;rna	dnaseq;targeted_resequencing	1
017835-1	017835-1	female	tumor	gonad	2	3	summer_2014	dna;cyto;rna	cytogenetics;dnaseq;rnaseq;microarrays;targeted_resequencing	1
017841-0	017841	female	normal	liver	3	na	summer_2014	dna;rna	dnaseq;targeted_resequencing	1
017841-3	017841-3	female	tumor	gonad	3	3	summer_2014	dna;cyto;rna	cytogenetics;dnaseq;rnaseq;microarrays;targeted_resequencing	1
017842-0	017842	female	normal	liver	3	na	summer_2014	dna;rna	dnaseq;targeted_resequencing	1
017842-2	017842-2	female	tumor	gonad	3	3	summer_2014	dna;cyto;rna	cytogenetics;dnaseq;rnaseq;microarrays;targeted_resequencing	1
017842-2_2	017842-2_2	female	tumor	gonad	3	3	summer_2014	dna;cyto;rna	dnaseq;rnaseq;targeted_resequencing	1
017855-0	017855	female	normal	gonad	4	na	summer_2014	rna	dnaseq;targeted_resequencing	1
017855-1	017855-1	female	tumor	gonad	4	2	summer_2014	dna;cyto;rna	cytogenetics;dnaseq;rnaseq;microarrays;targeted_resequencing	1
017863-0	017863	male	normal	gonad	1	na	summer_2014	dna;rna	dnaseq;targeted_resequencing	1
017863-1	017863-1	male	tumor	gonad	1	2	summer_2014	dna;rna	cytogenetics;dnaseq;rnaseq;microarrays;targeted_resequencing	1
017884-0	017884	female	normal	liver	2	na	summer_2014	dna;rna	dnaseq;targeted_resequencing	1
017884-2	017884-2	female	tumor	gonad	2	1	summer_2014	dna;rna	cytogenetics;dnaseq;rnaseq;microarrays;targeted_resequencing	1
017901-0	017901	male	normal	liver	3	na	summer_2014	dna;rna	dnaseq;targeted_resequencing	1
017901-2	017901-2	male	tumor	gonad	3	3	summer_2014	dna;cyto;rna	cytogenetics;dnaseq;rnaseq;microarrays;targeted_resequencing	1
